연도,월일,금리
2023,01월 13일,3.5
2022,11월 24일,3.25
2022,10월 12일,3.0
2022,08월 25일,2.5
2022,07월 13일,2.25
2022,05월 26일,1.75
2022,04월 14일,1.5
2022,01월 14일,1.25
2021,11월 25일,1.0
2021,08월 26일,0.75
2020,05월 28일,0.5
2020,03월 17일,0.75
2019,10월 16일,1.25
2019,07월 18일,1.5
2018,11월 30일,1.75
2017,11월 30일,1.5
2016,06월 09일,1.25
2015,06월 11일,1.5
2015,03월 12일,1.75
2014,10월 15일,2.0
2014,08월 14일,2.25
2013,05월 09일,2.5
2012,10월 11일,2.75
2012,07월 12일,3.0
2011,06월 10일,3.25
2011,03월 10일,3.0
2011,01월 13일,2.75
2010,11월 16일,2.5
2010,07월 09일,2.25
2009,02월 12일,2.0
2009,01월 09일,2.5
2008,12월 11일,3.0
2008,11월 07일,4.0
2008,10월 27일,4.25
2008,10월 09일,5.0
2008,08월 07일,5.25
2007,08월 09일,5.0
